Ime, Prezime, Oznaka aranžmana, Datum i vrijeme
Luka,Buljan,3,09.10.2025 12:57:00
Helena,Đurić,3,02.10.2025 13:20:00
Ema,Grgić,2,04.10.2025 08:42:00
Karlo,Novak,1,03.10.2025 21:37:00
Lovro,Vuković,2,14.10.2025 08:35:00
Marija,Blažević,8,02.10.2025 12:48:00
Lea,Radić,1,07.10.2025 15:21:00
Ivan,Babić,1,06.10.2025 18:29:00
Matej,Tomić,2,14.10.2025 21:02:00
Tea,Kovač,8,13.10.2025 10:28:00
Nina,Zorić,8,05.10.2025 13:38:00
Luka,Marić,3,03.10.2025 16:15:00
Katarina,Buljan,2,02.10.2025 02:56:00
Paula,Miletić,8,12.10.2025 21:40:00
Andrej,Kralj,3,06.10.2025 18:22:00
Marin,Radić,8,14.10.2025 05:08:00
Andrej,Lovrić,1,01.10.2025 16:12:00
Lana,Petrović,1,06.10.2025 04:50:00
Lucija,Matić,3,04.10.2025 23:03:00
Domagoj,Klarić,3,04.10.2025 12:53:00
Lana,Buljan,1,06.10.2025 18:59:00
Zvonimir,Đurić,8,06.10.2025 23:49:00
Ema,Grgić,3,02.10.2025 05:03:00
Sara,Kovač,3,04.10.2025 08:01:00
Ema,Grgić,3,01.10.2025 11:40:00
Fran,Stjepanović,2,18.10.2025 21:09:00
Lea,Kovač,8,11.10.2025 16:20:00
Ivan,Bandić,8,07.10.2025 14:54:00
Lea,Vidić,3,04.10.2025 01:27:00

Greska,Greska,3,greska
